Company,Product Name,Prices,Display Size, Display Type,Memory Description
Samsung,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹ 14,490",6.6 ,Full HD,6 GB RAM | 128 GB ROM
Redmi,"REDMI 10 (Caribbean Green, 64 GB)","₹ 9,499",6.7 ,HD,4 GB RAM | 64 GB ROM 
Poco,"POCO X5 5G (Wildcat Blue, 128 GB)","₹ 15,999",6.67,Full HD,6 GB RAM | 128 GB ROM
Micromax,Micromax J22,"₹ 1,125",2.4 ,Basic ,32 MB RAM | 32 MB ROM
Micromax,Micromax J22,"₹ 1,124",2.4 ,Basic ,32 MB RAM | 32 MB ROM
Nokia,Nokia 105SS PLUS,"₹ 1,422",1.77,QVGA ,32 MB RAM | 32 MB ROM
Nokia,Nokia 150 DS 2020,"₹ 2,615",2.4 ,Basic ,4 MB RAM | 4 MB ROM
Realme,"realme 10 Pro 5G (Dark Matter, 128 GB)","₹ 19,999",6.72,Full HD,8 GB RAM | 128 GB ROM
Realme,"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹ 18,999",6.72,Full HD,6 GB RAM | 128 GB ROM
Infinix,"Infinix Note 12 Pro 5G (Snowfall, 128 GB)","₹ 15,999",6.7 ,Full HD,8 GB RAM | 128 GB ROM
Infinix,"Infinix Note 12 Pro 5G (Force Black, 128 GB)","₹ 15,999",6.7 ,Full HD,8 GB RAM | 128 GB ROM
Samsung,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹ 16,999",6.6 ,Full HD,6 GB RAM | 128 GB ROM
Apple,"APPLE iPhone 14 (Midnight, 128 GB)","₹ 69,999",6.1 ,Super Retina ,128 GB ROM
Apple,"APPLE iPhone 14 (Purple, 128 GB)","₹ 69,999",6.1 ,Super Retina ,128 GB ROM
Realme,"realme 10 Pro 5G (Dark Matter, 128 GB)","₹ 18,999",6.72,Full HD,6 GB RAM | 128 GB ROM
Realme,"realme 10 Pro 5G (Hyperspace, 128 GB)","₹ 19,999",6.72,Full HD,8 GB RAM | 128 GB ROM
Realme,"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹ 19,999",6.72,Full HD,8 GB RAM | 128 GB ROM
